"ENSG_id","SRR7351059","SRR7351063","SRR7351065","SRR7351060","SRR7351064","SRR7351066"
"ENSG00000011347",0,0,0,0,0,0
"ENSG00000011376",285,250,155,319,115,95
"ENSG00000011405",1299,1262,1143,1392,692,575
"ENSG00000011422",2850,2597,3425,2468,3985,2526
"ENSG00000011426",40,19,23,34,15,19
"ENSG00000011451",790,812,703,1081,554,665
"ENSG00000011454",1002,945,863,1152,627,499
"ENSG00000011465",1,1,0,0,3,0
"ENSG00000011478",113,143,59,127,79,47
"ENSG00000011485",970,955,509,1487,637,267
"ENSG00000011523",644,772,380,767,439,213
"ENSG00000011566",248,360,177,276,158,100
"ENSG00000011590",73,47,23,73,22,7
"ENSG00000011600",7419,7708,14211,9878,10831,11147
"ENSG00000011638",179,202,118,210,126,112
"ENSG00000011677",0,0,0,0,0,0
"ENSG00000012048",272,136,500,290,275,310
"ENSG00000012061",754,930,575,1045,636,299
"ENSG00000012124",750,1225,548,1268,420,266
"ENSG00000012171",97,106,91,79,79,33
"ENSG00000012174",209,217,101,247,109,66
"ENSG00000012211",200,222,205,280,143,157
"ENSG00000012223",458,1819,2706,451,2284,1548
"ENSG00000012232",1673,1178,3109,1630,1162,2790
"ENSG00000012504",0,0,0,0,0,0
"ENSG00000012660",5265,3978,7066,4903,5208,4648
"ENSG00000012779",7561,6321,16774,9030,9760,20288
"ENSG00000012817",3811,0,0,4606,0,4
"ENSG00000012822",3731,2820,5285,4217,3840,3710
"ENSG00000012963",449,368,318,578,339,197
"ENSG00000012983",850,910,492,1037,455,243
"ENSG00000013016",273,306,287,225,146,309
"ENSG00000013275",1292,1231,778,1288,712,501
"ENSG00000013288",2495,2376,2688,3166,1750,1948
"ENSG00000013293",0,0,0,0,0,0
"ENSG00000013297",3,2,7,1,3,3
"ENSG00000013306",910,978,544,1337,561,274
"ENSG00000013364",6815,6030,9161,9383,9668,7555
"ENSG00000013374",3021,2786,2984,3731,3455,1421
"ENSG00000013375",376,402,314,454,254,164
"ENSG00000013392",70,65,63,88,48,30
"ENSG00000013441",15532,12342,8081,10171,4904,5252
"ENSG00000013503",111,120,102,142,67,62
"ENSG00000013523",520,598,317,713,320,197
"ENSG00000013561",463,454,383,620,313,239
"ENSG00000013563",896,1039,886,1318,858,826
"ENSG00000013573",194,175,81,271,94,34
"ENSG00000013583",294,364,293,450,390,203
"ENSG00000013588",0,0,0,0,2,0
"ENSG00000013619",35,25,9,38,15,7
"ENSG00000013725",4864,3939,1705,6145,2400,416
"ENSG00000013810",4046,2281,6396,4056,2559,4901
"ENSG00000014123",1156,1142,637,1434,576,432
"ENSG00000014138",259,288,250,371,236,284
"ENSG00000014164",761,776,923,913,1261,712
"ENSG00000014216",3289,3497,3869,4317,3089,3656
"ENSG00000014257",710,571,742,690,424,719
"ENSG00000014641",953,923,622,1458,745,381
"ENSG00000014824",981,876,635,1083,567,452
"ENSG00000014914",424,801,349,610,412,188
"ENSG00000014919",734,657,705,868,531,477
"ENSG00000015133",6022,5727,2783,7374,2489,1368
"ENSG00000015153",655,636,581,596,435,307
"ENSG00000015171",1420,1106,650,1657,630,293
"ENSG00000015285",6790,5195,11131,7407,7810,8627
"ENSG00000015413",0,0,0,0,1,0
"ENSG00000015475",2287,1787,3201,2317,2101,2219
"ENSG00000015479",261,240,142,204,91,57
"ENSG00000015520",2,3,6,2,2,2
